category,city,n_cells,n_vars,n_rows,status,stop_reason,gap_target,achieved_gap,hit_time_limit,dual_bound,objective_net_rev,baseline_hold_net_rev,nodes,solve_time_s,budget_wk,n_held_cells
"Wheat, Daliya & More",Kolkata,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-294107.0,294107.0,293534.0,1.0,0.02,2933.0,0.0
"Wheat, Daliya & More",Lucknow,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-106186.0,106186.0,105979.0,1.0,0.01,1059.0,0.0
"Wheat, Daliya & More",Mumbai,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-142043.0,142043.0,141766.0,1.0,0.0,1416.0,0.0
"Wheat, Daliya & More",Others,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-1286638.0,1286638.0,1284132.0,1.0,0.0,12832.0,0.0
"Wheat, Daliya & More",Pune,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-105034.0,105034.0,102816.0,1.0,0.01,1047.0,0.0
Whole Spices,Ahmedabad,3,252.0,213.0,0,target_gap_hit,0.01,2.2e-05,False,-71968.0,71967.0,70640.0,1.0,0.02,720.0,0.0
Whole Spices,Bangalore,4,336.0,276.0,0,target_gap_hit,0.01,0.0,False,-862962.0,862962.0,859877.0,1.0,0.03,8633.0,0.0
Whole Spices,Chandigarh Tricity,3,252.0,213.0,0,target_gap_hit,0.01,9e-06,False,-32017.0,32017.0,31908.0,1.0,0.01,321.0,0.0
Whole Spices,Chennai,4,336.0,276.0,0,target_gap_hit,0.01,0.0,False,-341769.0,341769.0,340328.0,1.0,0.03,3428.0,0.0
Whole Spices,Delhi-NCR,4,336.0,276.0,0,target_gap_hit,0.01,2.1e-05,False,-1331629.0,1331601.0,1327602.0,1.0,0.05,13323.0,0.0
Whole Spices,Hyderabad,5,420.0,339.0,0,target_gap_hit,0.01,8e-06,False,-507458.0,507454.0,506171.0,1.0,0.03,5077.0,0.0
Whole Spices,Kolkata,3,252.0,213.0,0,target_gap_hit,0.01,2e-05,False,-169991.0,169987.0,169473.0,1.0,0.03,1701.0,0.0
Whole Spices,Lucknow,4,336.0,276.0,0,target_gap_hit,0.01,0.0,False,-99892.0,99892.0,99698.0,1.0,0.03,999.0,0.0
Whole Spices,Mumbai,5,420.0,339.0,0,target_gap_hit,0.01,2e-05,False,-434011.0,434003.0,433029.0,1.0,0.03,4342.0,0.0
Whole Spices,Others,6,504.0,402.0,0,target_gap_hit,0.01,1.8e-05,False,-1313282.0,1313258.0,1308899.0,1.0,0.03,13149.0,0.0
Whole Spices,Pune,5,420.0,339.0,0,target_gap_hit,0.01,1.2e-05,False,-198406.0,198404.0,197523.0,1.0,0.03,1986.0,0.0
