week,week_date,cell_id,confidence,scored,pred_net_rev_delta,actual_net_rev_delta,pred_units,actual_units,applied,week_action,baseline_net_rev_wk,baseline_units_wk,baseline_osa,baseline_sov,actual_osa,actual_sov,strikes,cell_status
W2,2026-07-06,495085_2x500g_Pune,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,55.172413793,1.936764483,,,,
W2,2026-07-06,495092_2x500g_Bangalore,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,73.939393939,1.53246367,,,,
W2,2026-07-06,495092_2x500g_Chandigarh Tricity,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,58.333333333,2.079366153,,,,
W2,2026-07-06,495092_2x500g_Chennai,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,69.230769231,3.373737485,,,,
W2,2026-07-06,495092_2x500g_Delhi-NCR,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,72.207084469,0.9784493156,,,,
W2,2026-07-06,495092_2x500g_Hyderabad,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,56.25,0.01481596286,,,,
W2,2026-07-06,495092_2x500g_Kolkata,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,78.16091954,2.810541921,,,,
W2,2026-07-06,495092_2x500g_Mumbai,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,68.085106383,2.768828385,,,,
W2,2026-07-06,495092_2x500g_Pune,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,66.666666667,2.743064686,,,,
W2,2026-07-06,496799_1kg_Ahmedabad,High,True,0.0,,10.0,,False,hold,1488.5150000000003,10.0,75.10760429398215,0.0472178624935714,,,,
W2,2026-07-06,496799_1kg_Bangalore,High,True,0.0,,44.2,,False,hold,6571.179999999999,44.25,73.79166895954167,0.0098891340737238,,,,
W2,2026-07-06,496799_1kg_Chennai,High,True,0.0,,11.5,,False,hold,1710.6775,11.5,60.77209352214881,0.0388855165151785,,,,
W2,2026-07-06,496799_1kg_Delhi-NCR,High,True,0.0,,53.8,,False,hold,8021.029999999999,53.75,71.65693612821191,0.0005880075181428,,,,
W2,2026-07-06,496799_1kg_Hyderabad,High,True,0.0,,8.8,,False,hold,1302.115,8.75,54.762691575625,0.0062530805441666,,,,
W2,2026-07-06,496799_1kg_Kolkata,High,True,0.0,,12.2,,False,hold,1817.8225,12.25,80.78388621356072,0.0400651795016428,,,,
W2,2026-07-06,496799_1kg_Lucknow,High,True,0.0,,6.5,,False,hold,970.2875,6.5,73.84453781510713,0.1771377252771428,,,,
W2,2026-07-06,496799_1kg_Mumbai,Experimental,True,0.0,,5.0,,False,hold,721.5,5.0,61.2317880795,0.0273907975875,,,,
W2,2026-07-06,496799_1kg_Others,High,True,0.0,,149.0,,False,hold,22243.930000000004,149.0,68.51267673783929,0.0482553163993214,,,,
W2,2026-07-06,496799_1kg_Pune,High,True,0.0,,17.5,,False,hold,2601.225,17.5,61.37443689853572,0.3568867651482143,,,,
W2,2026-07-06,521140_5kg_Bangalore,High,True,0.0,,70.5,,False,hold,40450.6675,70.5,85.56987444045714,0.1361064656017857,,,,
W2,2026-07-06,521140_5kg_Chandigarh Tricity,Experimental,True,0.0,,0.3,,False,hold,193.61,0.3333333333333333,60.20408163261112,0.1308754162844444,,,,
W2,2026-07-06,521140_5kg_Delhi-NCR,High,True,0.0,,59.0,,False,hold,35130.7525,59.0,69.759872144625,0.1300610968407142,,,,
W2,2026-07-06,521140_5kg_Hyderabad,High,True,0.0,,73.2,,False,hold,42195.5025,73.25,77.67484841210356,0.1338196307883452,,,,
W2,2026-07-06,521140_5kg_Kolkata,High,True,0.0,,30.2,,False,hold,17648.0,30.25,82.43408536950596,0.1156889507436904,,,,
W2,2026-07-06,521140_5kg_Mumbai,High,True,0.0,,25.0,,False,hold,14064.764999999998,25.0,58.60464976900595,0.0916145799869642,,,,
W2,2026-07-06,521140_5kg_Others,High,True,0.0,,50.0,,False,hold,31143.8375,50.0,51.18862945383036,0.2695983148571428,,,,
W2,2026-07-06,521140_5kg_Pune,Experimental,True,0.0,,4.0,,False,hold,2580.59,4.0,63.6627906975,0.0,,,,
W2,2026-07-06,521146_2kg_Others,High,True,0.0,,13.2,,False,hold,3919.350000000001,13.25,56.17748100370834,1.838586948e-05,,,,
W2,2026-07-06,532385_5kg_Bangalore,High,True,0.0,,40.8,,False,hold,20799.6325,40.75,86.88063694274999,1.2800102928203927,,,,
W2,2026-07-06,532385_5kg_Delhi-NCR,High,True,0.0,,97.8,,False,hold,50395.09999999999,97.75,92.02702867200595,0.0039748236392154,,,,
W2,2026-07-06,532385_5kg_Hyderabad,High,True,0.0,,22.2,,False,hold,11430.4275,22.25,82.70044593649999,1.320439876842857,,,,
W2,2026-07-06,532385_5kg_Kolkata,High,True,0.0,,19.2,,False,hold,9834.05,19.25,85.97861304317857,0.892101572931756,,,,
W2,2026-07-06,532385_5kg_Lucknow,High,True,0.0,,22.5,,False,hold,11348.85,22.5,71.308823529625,1.4515742273839287,,,,
W2,2026-07-06,532385_5kg_Others,High,True,0.0,,167.0,,False,hold,85550.9225,167.0,58.435378755464285,0.0040132157696464,,,,
W2,2026-07-06,532389_10x20g_Ahmedabad,Experimental,True,0.0,,3.0,,False,hold,300.0,3.0,69.69548254880952,0.9187814931880952,,,,
W2,2026-07-06,532389_10x20g_Bangalore,High,True,0.0,,173.5,,False,hold,16819.5,173.5,79.40638311685119,1.249388115603869,,,,
W2,2026-07-06,532389_10x20g_Chennai,High,True,0.0,,35.8,,False,hold,3553.75,35.75,81.80051480044644,0.7260124348124999,,,,
W2,2026-07-06,532389_10x20g_Delhi-NCR,High,True,0.0,,53.8,,False,hold,5319.75,53.75,86.24852405625,0.8589549791035713,,,,
W2,2026-07-06,532389_10x20g_Hyderabad,High,True,0.0,,112.5,,False,hold,11084.25,112.5,77.27132899458333,0.8267184220523809,,,,
W2,2026-07-06,532389_10x20g_Kolkata,High,True,0.0,,26.8,,False,hold,2645.25,26.75,79.70505617976787,0.5486763653321429,,,,
W2,2026-07-06,532389_10x20g_Mumbai,Experimental,True,0.0,,29.0,,False,hold,2900.0,29.0,52.39313611757937,0.3493160946,,,,
W2,2026-07-06,532389_10x20g_Others,High,True,0.0,,172.8,,False,hold,17062.5,172.75,69.7517248270357,0.5599789505053572,,,,
W2,2026-07-06,532389_10x20g_Pune,Experimental,True,0.0,,21.5,,False,hold,2103.25,21.5,90.04931403994644,0.9061195121160714,,,,
W2,2026-07-06,532393_10x20g_Bangalore,Experimental,True,0.0,,101.5,,False,hold,9362.0,101.5,73.19528824257142,0.3225347182779762,,,,
W2,2026-07-06,532393_10x20g_Chennai,Experimental,True,0.0,,38.8,,False,hold,3631.2625,38.75,84.56628056617856,1.0672468814785714,,,,
W2,2026-07-06,532393_10x20g_Delhi-NCR,Experimental,True,0.0,,252.2,,False,hold,23431.75,252.25,72.22769458920239,0.1005523740515833,,,,
W2,2026-07-06,532393_10x20g_Hyderabad,High,True,0.0,,186.2,,False,hold,17333.55,186.25,84.51751294257141,1.0782683293785713,,,,
W2,2026-07-06,532393_10x20g_Others,High,True,0.0,,178.5,,False,hold,16523.9,178.5,69.81807756306547,0.0723339904886348,,,,
W2,2026-07-06,532393_10x20g_Pune,Experimental,True,49.49999999999999,,16.5,,False,cut,1504.5,16.5,84.57158783241667,1.3022348418666665,,,,
W2,2026-07-06,536247_2x1pack(10x20g)_Bangalore,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,86.666666667,0.09960748427,,,,
W2,2026-07-06,536247_2x1pack(10x20g)_Delhi-NCR,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,91.256830601,0.5327897707,,,,
W2,2026-07-06,536247_2x1pack(10x20g)_Hyderabad,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,95.833333333,0.0645826017,,,,
W2,2026-07-06,536247_2x1pack(10x20g)_Kolkata,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,89.655172414,0.3080152235,,,,
W2,2026-07-06,536247_2x1pack(10x20g)_Others,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,62.740384615,0.4016547464,,,,
W2,2026-07-06,537173_2x1pack(10x20g)_Bangalore,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,95.151515152,0.6068954593,,,,
W2,2026-07-06,537173_2x1pack(10x20g)_Delhi-NCR,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,58.469945355,0.02650497145,,,,
W2,2026-07-06,537173_2x1pack(10x20g)_Hyderabad,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,96.875,0.3126597039,,,,
W2,2026-07-06,537173_2x1pack(10x20g)_Others,Experimental,True,0.0,,0.0,,False,hold,0.0,0.0,58.893280632,0.04481290943,,,,
W2,2026-07-06,542154_1kg_Delhi-NCR,High,True,0.0,,21.0,,False,hold,2482.5075,21.0,85.6056903997738,0.0057057005185059,,,,
W2,2026-07-06,542154_1kg_Others,High,True,0.0,,0.8,,False,hold,90.045,0.75,76.76017851635714,0.0028241355599999,,,,
W2,2026-07-06,545408_200g_Bangalore,High,True,0.0,,20.8,,False,hold,5090.9275,20.75,94.05639353584762,0.0006245673420983,,,,
W2,2026-07-06,545408_200g_Chennai,High,True,0.0,,2.8,,False,hold,682.3425,2.75,53.02230998971428,0.0021545140980535,,,,
W2,2026-07-06,545408_200g_Others,High,True,0.0,,11.0,,False,hold,2625.9549999999995,11.0,55.46632475859822,0.0003232370358871,,,,
W2,2026-07-06,545915_450g_Bangalore,High,True,0.0,,201.0,,False,hold,21940.965,201.0,75.26731948936785,0.0115766559169023,,,,
W2,2026-07-06,545915_450g_Chennai,High,True,0.0,,45.5,,False,hold,4837.435,45.5,80.62773487769644,0.0095345663303571,,,,
W2,2026-07-06,545915_450g_Hyderabad,High,True,189.04079999999885,,189.8,,False,cut,20960.5,189.75,83.01328401031549,0.0104171123102499,,,,
W2,2026-07-06,545915_450g_Mumbai,High,True,0.0,,88.2,,False,hold,9391.9425,88.25,70.32672110332143,0.0145410823894285,,,,
W2,2026-07-06,545915_450g_Others,High,True,0.0,,135.0,,False,hold,14665.2925,135.0,58.19493568822024,0.0042747870235714,,,,
W2,2026-07-06,545915_450g_Pune,High,True,178.83719999999994,,52.2,,False,cut,5644.6225,52.25,83.60030885255357,0.0075373874743392,,,,
W2,2026-07-06,5460_500g_Bangalore,High,True,551.612389380531,,244.8,,False,cut,16125.092500000002,244.75,91.24553538666072,27.839219516482142,,,,
W2,2026-07-06,5460_500g_Chandigarh Tricity,High,True,83.29719387755092,,37.0,,False,cut,2462.71,37.0,82.30077745375,29.743022965142856,,,,
W2,2026-07-06,5460_500g_Chennai,High,True,151.10194552529126,,67.2,,False,cut,4513.8475,67.25,83.01994851992858,51.843400514625,,,,
W2,2026-07-06,5460_500g_Delhi-NCR,High,True,1216.125,,540.5,,False,cut,36064.0275,540.5,89.0635486090357,62.50292896825,,,,
W2,2026-07-06,5460_500g_Hyderabad,High,True,0.0,,452.8,,False,hold,30186.775,452.75,86.05102739383929,33.54233748926072,,,,
W2,2026-07-06,5460_500g_Kolkata,High,True,460.7999999999987,,204.8,,False,cut,13543.5375,204.75,88.29498840726787,93.66925119389283,,,,
W2,2026-07-06,5460_500g_Lucknow,High,True,93.47789256198328,,41.5,,False,cut,2757.0125000000003,41.5,75.15966386549404,27.93605258000417,,,,
W2,2026-07-06,5460_500g_Mumbai,High,True,411.7499999999999,,183.0,,False,cut,12143.712499999998,183.0,87.63550507669643,46.14580064164286,,,,
