cell_id,product_id,city,reason
126995_500g_Hyderabad,126995,Hyderabad,competitive defense (challenger reclassified c_waste_cut -> f_monitor)
126995_500g_Kolkata,126995,Kolkata,competitive defense (challenger reclassified c_waste_cut -> f_monitor)
3583_500g_Bangalore,3583,Bangalore,competitive defense (challenger reclassified c_waste_cut -> f_monitor)
3583_500g_Chandigarh Tricity,3583,Chandigarh Tricity,competitive defense (challenger reclassified c_waste_cut -> f_monitor)
3592_500g_Mumbai,3592,Mumbai,competitive defense (challenger reclassified c_waste_cut -> f_monitor)
