entity_i,entity_j,city,category,elast,w_ij,cross_uniform,block
3581,3581,Others,,-0.8364,,,own_diag
3582,3582,Bangalore,,-0.8364,,,own_diag
3582,3582,Chandigarh Tricity,,-0.8364,,,own_diag
3582,3582,Chennai,,-0.8364,,,own_diag
3582,3582,Delhi-NCR,,-0.8364,,,own_diag
3582,3582,Hyderabad,,-0.8364,,,own_diag
3582,3582,Kolkata,,-0.8364,,,own_diag
3582,3582,Lucknow,,-0.8364,,,own_diag
3582,3582,Mumbai,,-0.8364,,,own_diag
3582,3582,Others,,-0.8364,,,own_diag
3582,3582,Pune,,-0.8364,,,own_diag
3583,3583,Ahmedabad,,-1.244,,,own_diag
3583,3583,Bangalore,,-1.244,,,own_diag
3583,3583,Chandigarh Tricity,,-1.244,,,own_diag
3583,3583,Chennai,,-1.244,,,own_diag
3583,3583,Delhi-NCR,,-1.244,,,own_diag
3583,3583,Hyderabad,,-1.244,,,own_diag
3583,3583,Kolkata,,-1.244,,,own_diag
3583,3583,Lucknow,,-1.244,,,own_diag
3583,3583,Mumbai,,-1.244,,,own_diag
3583,3583,Others,,-1.244,,,own_diag
3583,3583,Pune,,-1.244,,,own_diag
3586,3586,Bangalore,,-0.953,,,own_diag
3586,3586,Chennai,,-0.953,,,own_diag
3586,3586,Delhi-NCR,,-0.953,,,own_diag
3586,3586,Hyderabad,,-0.953,,,own_diag
3586,3586,Kolkata,,-0.953,,,own_diag
3586,3586,Mumbai,,-0.953,,,own_diag
3586,3586,Others,,-0.953,,,own_diag
3587,3587,Bangalore,,-0.953,,,own_diag
3587,3587,Chandigarh Tricity,,-0.953,,,own_diag
3587,3587,Chennai,,-0.953,,,own_diag
3587,3587,Delhi-NCR,,-0.953,,,own_diag
3587,3587,Hyderabad,,-0.953,,,own_diag
3587,3587,Kolkata,,-0.953,,,own_diag
3587,3587,Lucknow,,-0.953,,,own_diag
3587,3587,Mumbai,,-0.953,,,own_diag
3587,3587,Others,,-0.953,,,own_diag
3587,3587,Pune,,-0.953,,,own_diag
3588,3588,Ahmedabad,,-0.953,,,own_diag
3588,3588,Bangalore,,-0.953,,,own_diag
3588,3588,Chandigarh Tricity,,-0.953,,,own_diag
3588,3588,Chennai,,-0.953,,,own_diag
3588,3588,Delhi-NCR,,-0.953,,,own_diag
3588,3588,Hyderabad,,-0.953,,,own_diag
3588,3588,Kolkata,,-0.953,,,own_diag
3588,3588,Lucknow,,-0.953,,,own_diag
3588,3588,Others,,-0.953,,,own_diag
3592,3592,Bangalore,,-1.0741,,,own_diag
3592,3592,Chandigarh Tricity,,-1.0741,,,own_diag
3592,3592,Chennai,,-1.0741,,,own_diag
3592,3592,Delhi-NCR,,-1.0741,,,own_diag
3592,3592,Hyderabad,,-1.0741,,,own_diag
3592,3592,Kolkata,,-1.0741,,,own_diag
3592,3592,Lucknow,,-1.0741,,,own_diag
3592,3592,Mumbai,,-1.0741,,,own_diag
3592,3592,Others,,-1.0741,,,own_diag
3592,3592,Pune,,-1.0741,,,own_diag
3595,3595,Pune,,-1.0271,,,own_diag
3596,3596,Bangalore,,-0.8287,,,own_diag
3596,3596,Chandigarh Tricity,,-0.8287,,,own_diag
3596,3596,Chennai,,-0.8287,,,own_diag
3596,3596,Delhi-NCR,,-0.8287,,,own_diag
3596,3596,Hyderabad,,-0.8287,,,own_diag
3596,3596,Kolkata,,-0.8287,,,own_diag
3596,3596,Lucknow,,-0.8287,,,own_diag
3596,3596,Mumbai,,-0.8287,,,own_diag
3596,3596,Others,,-0.8287,,,own_diag
3596,3596,Pune,,-0.8287,,,own_diag
3795,3795,Bangalore,,-0.953,,,own_diag
3795,3795,Chennai,,-0.953,,,own_diag
3795,3795,Delhi-NCR,,-0.953,,,own_diag
3795,3795,Hyderabad,,-0.953,,,own_diag
3795,3795,Kolkata,,-0.953,,,own_diag
3795,3795,Others,,-0.953,,,own_diag
3796,3796,Bangalore,,-0.8364,,,own_diag
3796,3796,Chennai,,-0.8364,,,own_diag
3796,3796,Delhi-NCR,,-0.8364,,,own_diag
3796,3796,Hyderabad,,-0.8364,,,own_diag
3796,3796,Kolkata,,-0.8364,,,own_diag
3796,3796,Lucknow,,-0.8364,,,own_diag
3796,3796,Mumbai,,-0.8364,,,own_diag
3796,3796,Others,,-0.8364,,,own_diag
3796,3796,Pune,,-0.8364,,,own_diag
5460,5460,Bangalore,,-0.8569,,,own_diag
5460,5460,Chandigarh Tricity,,-0.8569,,,own_diag
5460,5460,Chennai,,-0.8569,,,own_diag
5460,5460,Delhi-NCR,,-0.8569,,,own_diag
5460,5460,Hyderabad,,-0.8569,,,own_diag
5460,5460,Kolkata,,-0.8569,,,own_diag
5460,5460,Lucknow,,-0.8569,,,own_diag
5460,5460,Mumbai,,-0.8569,,,own_diag
5460,5460,Others,,-0.8569,,,own_diag
5460,5460,Pune,,-0.8569,,,own_diag
5533,5533,Bangalore,,-0.8287,,,own_diag
5533,5533,Chennai,,-0.8287,,,own_diag
5533,5533,Hyderabad,,-0.8287,,,own_diag
5533,5533,Lucknow,,-0.8287,,,own_diag
5533,5533,Others,,-0.8287,,,own_diag
5540,5540,Bangalore,,-0.8287,,,own_diag
5540,5540,Others,,-0.8287,,,own_diag
5541,5541,Pune,,-0.8287,,,own_diag
5629,5629,Delhi-NCR,,-1.0092,,,own_diag
5629,5629,Others,,-1.0092,,,own_diag
5751,5751,Ahmedabad,,-0.8364,,,own_diag
5751,5751,Bangalore,,-0.8364,,,own_diag
5751,5751,Chandigarh Tricity,,-0.8364,,,own_diag
5751,5751,Chennai,,-0.8364,,,own_diag
5751,5751,Delhi-NCR,,-0.8364,,,own_diag
5751,5751,Hyderabad,,-0.8364,,,own_diag
5751,5751,Kolkata,,-0.8364,,,own_diag
5751,5751,Lucknow,,-0.8364,,,own_diag
5751,5751,Mumbai,,-0.8364,,,own_diag
5751,5751,Others,,-0.8364,,,own_diag
5751,5751,Pune,,-0.8364,,,own_diag
5793,5793,Ahmedabad,,-1.0741,,,own_diag
5793,5793,Bangalore,,-1.0741,,,own_diag
5793,5793,Chennai,,-1.0741,,,own_diag
5793,5793,Delhi-NCR,,-1.0741,,,own_diag
5793,5793,Hyderabad,,-1.0741,,,own_diag
5793,5793,Kolkata,,-1.0741,,,own_diag
5793,5793,Lucknow,,-1.0741,,,own_diag
5793,5793,Mumbai,,-1.0741,,,own_diag
5793,5793,Others,,-1.0741,,,own_diag
5793,5793,Pune,,-1.0741,,,own_diag
5800,5800,Bangalore,,-1.0763,,,own_diag
5800,5800,Chandigarh Tricity,,-1.0763,,,own_diag
5800,5800,Chennai,,-1.0763,,,own_diag
5800,5800,Delhi-NCR,,-1.0763,,,own_diag
5800,5800,Hyderabad,,-1.0763,,,own_diag
5800,5800,Kolkata,,-1.0763,,,own_diag
5800,5800,Lucknow,,-1.0763,,,own_diag
5800,5800,Mumbai,,-1.0763,,,own_diag
