product_i,product_j,city,cross_elast
21836,3587,Chandigarh Tricity,0.0079
21836,3588,Chandigarh Tricity,0.0079
21836,16661,Chandigarh Tricity,0.0079
21836,21835,Chandigarh Tricity,0.0079
21836,31999,Chandigarh Tricity,0.0079
21836,75468,Chandigarh Tricity,0.0079
21836,126995,Chandigarh Tricity,0.0079
21836,495092,Chandigarh Tricity,0.0079
31999,3587,Chandigarh Tricity,0.0079
31999,3588,Chandigarh Tricity,0.0079
31999,16661,Chandigarh Tricity,0.0079
31999,21835,Chandigarh Tricity,0.0079
31999,21836,Chandigarh Tricity,0.0079
31999,75468,Chandigarh Tricity,0.0079
31999,126995,Chandigarh Tricity,0.0079
31999,495092,Chandigarh Tricity,0.0079
75468,3587,Chandigarh Tricity,0.0079
75468,3588,Chandigarh Tricity,0.0079
75468,16661,Chandigarh Tricity,0.0079
75468,21835,Chandigarh Tricity,0.0079
75468,21836,Chandigarh Tricity,0.0079
75468,31999,Chandigarh Tricity,0.0079
75468,126995,Chandigarh Tricity,0.0079
75468,495092,Chandigarh Tricity,0.0079
126995,3587,Chandigarh Tricity,0.0079
126995,3588,Chandigarh Tricity,0.0079
126995,16661,Chandigarh Tricity,0.0079
126995,21835,Chandigarh Tricity,0.0079
126995,21836,Chandigarh Tricity,0.0079
126995,31999,Chandigarh Tricity,0.0079
126995,75468,Chandigarh Tricity,0.0079
126995,495092,Chandigarh Tricity,0.0079
495092,3587,Chandigarh Tricity,0.0079
495092,3588,Chandigarh Tricity,0.0079
495092,16661,Chandigarh Tricity,0.0079
495092,21835,Chandigarh Tricity,0.0079
495092,21836,Chandigarh Tricity,0.0079
495092,31999,Chandigarh Tricity,0.0079
495092,75468,Chandigarh Tricity,0.0079
495092,126995,Chandigarh Tricity,0.0079
3586,3587,Chennai,0.007
3586,3588,Chennai,0.007
3586,3795,Chennai,0.007
3586,16661,Chennai,0.007
3586,21835,Chennai,0.007
3586,24055,Chennai,0.007
3586,31999,Chennai,0.007
3586,126995,Chennai,0.007
3586,495092,Chennai,0.007
3587,3586,Chennai,0.007
3587,3588,Chennai,0.007
3587,3795,Chennai,0.007
3587,16661,Chennai,0.007
3587,21835,Chennai,0.007
3587,24055,Chennai,0.007
3587,31999,Chennai,0.007
3587,126995,Chennai,0.007
3587,495092,Chennai,0.007
3588,3586,Chennai,0.007
3588,3587,Chennai,0.007
3588,3795,Chennai,0.007
3588,16661,Chennai,0.007
3588,21835,Chennai,0.007
3588,24055,Chennai,0.007
3588,31999,Chennai,0.007
3588,126995,Chennai,0.007
3588,495092,Chennai,0.007
3795,3586,Chennai,0.007
3795,3587,Chennai,0.007
3795,3588,Chennai,0.007
3795,16661,Chennai,0.007
3795,21835,Chennai,0.007
3795,24055,Chennai,0.007
3795,31999,Chennai,0.007
3795,126995,Chennai,0.007
3795,495092,Chennai,0.007
16661,3586,Chennai,0.007
16661,3587,Chennai,0.007
16661,3588,Chennai,0.007
16661,3795,Chennai,0.007
16661,21835,Chennai,0.007
16661,24055,Chennai,0.007
16661,31999,Chennai,0.007
16661,126995,Chennai,0.007
16661,495092,Chennai,0.007
21835,3586,Chennai,0.007
21835,3587,Chennai,0.007
21835,3588,Chennai,0.007
21835,3795,Chennai,0.007
21835,16661,Chennai,0.007
21835,24055,Chennai,0.007
21835,31999,Chennai,0.007
21835,126995,Chennai,0.007
21835,495092,Chennai,0.007
24055,3586,Chennai,0.007
24055,3587,Chennai,0.007
24055,3588,Chennai,0.007
24055,3795,Chennai,0.007
24055,16661,Chennai,0.007
24055,21835,Chennai,0.007
24055,31999,Chennai,0.007
24055,126995,Chennai,0.007
24055,495092,Chennai,0.007
31999,3586,Chennai,0.007
31999,3587,Chennai,0.007
31999,3588,Chennai,0.007
31999,3795,Chennai,0.007
31999,16661,Chennai,0.007
31999,21835,Chennai,0.007
31999,24055,Chennai,0.007
31999,126995,Chennai,0.007
31999,495092,Chennai,0.007
126995,3586,Chennai,0.007
126995,3587,Chennai,0.007
126995,3588,Chennai,0.007
126995,3795,Chennai,0.007
126995,16661,Chennai,0.007
126995,21835,Chennai,0.007
